pmid,cleaned_text,topic_label
40982385,gene family expansion provide molecular flexibility required contextdependent specie interaction environment worldwide change unprecedented rate anthropocene understanding context dependencyhow specie interaction vary depending environmental contextis crucial combining comparative genomics across angiosperm transcriptomics genomewide association mapping gene duplication origin analysis show first time gene family expansion important contextdependent regulation specie interaction gene family expanded mycorrhizal fungiassociating plant display contextdependent gene expression double genetic variation associated mycorrhizal benefit plant fitness moreover discover gene family expansion arise primarily tandem duplication time tandem duplication genomewide indicating gene family expansion continuously supply genetic variation allowing finetuning context dependency specie interaction throughout plant evolution taken together result spotlight widespread gene duplication provide molecular flexibility required plantmicrobial interaction match changing environmental condition,Lichen_Symbiosis_Genomics
40980884,hicresolved metagenomics reveals host range variation among mobile genetic element within european honey bee mobile genetic element mges plasmid bacteriophage major contributor ecology evolution hostassociated microbe due symbiotic interaction gene flow via horizontal gene transmission antibiotic resistance gene args frequently trafficked via mges known enriched within north american honey bee microbiomes due decade antibiotic exposure previous study identified nearly identical mgeassociated args across geographically disparate honey bee colony understanding args distributed mobilized within individual microbiomes limited address limitation leverage hicresolved metagenomics honey bee worker gut microbiome show worker gut contains dense nested highly distinct mge community show phagemicrobe network exhibit high variation among individual metagenomes phage show broad host range respect number phylogenetic distance host comparison individual microbiomes reveal highly individualized plasmid community exhibit broad host range variation within microbiomes finally provide specific evidence antibiotic resistance cassette actively shuttled honey bee microbe via plasmid broad host range plasmid frequently recombine share gene content work corroborates early observation arg dispersal honey bee colony provides evidence gene mobilized within across honey beeassociated microbial communitiesimportancemobile genetic element mges found every microbial community often encode gene conferring antibiotic resistance args within honey bee worker gut microbiome args particularly frequent due decade antibiotic exposure previous study identified nearly identical args geographically disparate honey bee colony suggests recent mobilization mges colony identifying args mobilized distributed within honey bee colony remains challenging task technique rely microbial culture applying metagenomic hic describe args distributed among individual plasmid backbone plasmid distributed among host microbial population remarkably find plasmid exhibit broad host range variation although encode nearly identical args work corroborates earlier observation arg dispersal honey bee colony provides evidence args mobilized across vast geographic distance,Lichen_Symbiosis_Genomics
40973632,evolutionary diversification function candidate male killing gene wmk symbiontmediated male killing mechanism selectively eliminates male offspring often disrupting sexspecific developmental process drosophila melanogaster womediated killing gene wmk wolbachia prophage transgenically reproduces phenotype yet gene evolves function across diverse wolbachia systematically investigated analyzed wolbachia genome available ncbi database study wmk homologs across different arthropod host reproductive parasitism function wolbachia supergroups first report least five distinct wmk phylogenetic cluster type often organized multigenic dyad triad second among wolbachia significantly higher number wmk gene diversity lepidoptera strain drosophila strain exclusively harbor wmk type iii third three pattern wmk sequence genomic organizational change drosophila strain associate different evolutionary trajectory underpinning phenotype fourth single combinatory transgenic expression type iii melanogaster uncovers malebiased lethality associated type however dual expression type together elicits major reduction offspring number fifth wmk gene low expression level across melanogaster developmental stage relative cifa cifb gene could explain cytoplasmic incompatibility expressed system finding establish complex phylogeneticallyinformed genetic basis wmkinduced lethality highlighting role gene copy number expression wmk type host background shaping phenotype,Lichen_Symbiosis_Genomics
40970722,beyond plasmid addiction role toxinantitoxin system selfish behavior mobile genetic element toxinantitoxin system initially described addiction module promote plasmid maintenance postsegregational killing psk mechanism process cell forced retain plasmid avoid death caused longer halflife toxin compared antitoxin however system since widely identified across broad range mobile genetic element mges suggesting system support maintenance mges within bacterial host contribute exclusion competing mges plasmid phage perspective highlight broader role beyond plasmid addiction functioning key component safeguarding mge persistence enhancing mge fitness therefore concept plasmid addiction reconsidered subset comprehensive phenomenon referred mge selfishness accurately capture widespread distribution conserved selfserving function system across diverse mges additionally system facilitate establishment mges molecular symbionts within bacterial cell initially considered parasitic relationship evolve provide mutual benefit mge host genecentered evolutionary perspective proposed molecular symbiosis may progress point mges original content lost leaving essential gene retained functionally coopted host study investigate role system mges beyond plasmid well evolutionary trajectory toward specialized function may influence adaptation evolution key bacterial group including pathogen,Lichen_Symbiosis_Genomics
40969425,selective shaping prokaryotic community core symbiont maintenance suggest largescale aquarium facility reservoir microbiome diversity octocorals octocorals play critical role coral ecosystem contributing habitat complexity marine biodiversity despite ecological importance microbial community associated octocorals remain understudied particularly situ condition study compared prokaryotic community tropical octocoral ilitophytoni surrounding seawater sediment biotopes natural red sea reef longterm tropical aquarium mesocosm designed emulate natural reef ecosystem habitat using high throughput rrna gene sequencing assessed community composition diversity core taxon distinct prokaryotic assemblage associated biotope core symbionts persisting across habitat seawater community diverged habitat sediment community compositionally similar dominated initrosopumilaceaei ipirellulaceaei iwoeseiaceaei iflavobacteriaceaei ilitophytoni harbored specific symbionts consistently across habitat alphadiversity ilitophytoni differ significantly habitat anova tukeys hsd ipi betadiversity pattern also significant permanova ipi identified asvs shared across ilitophytoni habitat dominated iendozoicomonasi unclassified icampylobacteralesi imarivibrioi several core family iendozoicomonadaceaei ispirochaetaceaei ikiloniellaceaei consistently associated ilitophytoni across habitat indicating stability specific hostmicrobe association even year aquarium condition phylogenetic analysis demonstrated selective maintenance diverse iendozoicomonasi lineage aquariumkept ilitophytoni specimen finding suggest largescale aquarium ecosystem preserve extent structure diversity coralassociated microbiomes extended time period supporting key symbiotic taxon multitrophic integrated aquarium system may serve repository healthy coralassociated microbial community microbiome stewardship underscoring value future conservation effort sustain biodiversity marine holobionts face growing environmental challenge,Coral_Algae_Symbiosis
40962294,genetic insight pathway supporting optimized biological nitrogen fixation chickpea interaction disease resistance breeding chickpea cicer arietinum globally important grain legume improvement yield stability required address food security agricultural land loss one approach improve nutrient acquisition symbiosis rhizobial bacteria biotic stress resistance support simultaneous selection multiple beneficial trait sought identify quantitative trait locus qtl gene linked improved plantmicrobe symbiosis symbiosispromotive growth condition pathogen present aim use chickpeamesorhizobium rhizobial model identify qtl associated biological nitrogen fixation bnf nutrient acquisition understand factor promotive sustained bnf biotic stress impact phytophthora root rot prr bnf across chickpea genotype host gene expression using two chickpeac echinospermum recombinant inbred line ril population identified qtl associated bnf several associated macro micronutrient status chickpea within set prrresistant ril successfully identified ril high prr resistance sourced bnf condition tripartite hostrhizobiapathogen interaction consistent pathogen impact abundance mesorhizobium nodule prrresistant genotype maintained higher activity nassimilation gene susceptible genotype repressed gene improved understanding genetic support bnf chickpea allow selection material maintains higher bnf disease resistant together may improve yield stability chickpea,Squid_Vibrio_Symbiosis
40959553,impact sublethal zinc exposure ectomycorrhizal ilaccaria bicolori poplar symbiosis soil pollution widespread problem impacting plant growth production several tree specie rely fungal ectomycorrhizal symbionts mitigate toxicity effect extent explored impact pollution bicolori ectomycorrhizal symbiosis ipopulus tremula albai next growth morphological parameter sublethal exposure investigated response symbiosis marker gene reactive oxygen specie scavenging enzyme transporter presence absence host plant result indicate ecm symbiosis development maintained excess condition despite reduction fungal plant growth symbiosis marker gene expression showed sensitivity excess even fungus cultured absence host zninduced transcriptional response ro scavenging enzyme transporter mainly restricted mycelium presence host less prevalent without host establishment new homeostatic equilibrium particular presence host seem essential maintain symbiosis protect host adapt physiologically pollution research furthers understanding resilient plantfungal symbiotic interaction interplay partner changing environmental condition,General_Gene_Expression
40957508,argyrolobium legume african centre endemism associate novel bradyrhizobium specie harbouring unique set symbiosis gene given several mainly endemic south african genisteae genus occupy basal position legume phylogenetic tree region africa considered primaeval centre diversification legume tribe despite importance south africa genisteae evolution almost study focused rhizobium nodulating genisteae centre diversity either mediterranean basin america therefore study aimed identify characterize rhizobial strain associated argyrolobium specie native area grassland biome associated great escarpment dominates subcontinent eastern landscape compare bradyrhizobia nodulating genisteae centre diversity phylogenetic analysis five housekeeping gene dnak glnii gyrb reca rpob separated bradyrhizobium strain examined five wellsupported group three conspecific arachidis brasilenseb australafricanum ivorense remaining two appeared new science confirming novelty using average nucleotide identity metric genome relatedness certain phenotypic trait recognized novel specie proposed name spitzkopense nov argsuptssup mpumalangense nov arglsuptssup phylogenetic analysis noda gene sequence showed half strain examined irrespective specie identity harboured allele known grassland biome along great escarpment previously detected bradyrhizobium strain nodulating crotalarieae endemic region genomebased analysis data previous study showed strain unique noda allele typically encode nodh gene product add sulfate moiety nod factor signalling molecule establishing nitrogenfixing symbiosis remaining strain noda allele commonly encountered elsewhere south africa tropical region world also genome strain lacked nodh encoded nodz gene involved fucosylation nod factor finding therefore showed root nodule genisteae sister tribe crotalarieae native grassland biome along great escarpment often related bradyrhizobium strain distinct bradyrhizobia nodulating genisteae mediterranean america,Lichen_Symbiosis_Genomics
40945623,chromosomelevel genome assembly termitomyces fuliginosus using oxford nanopore hic sequencing termitomyces fuliginosus tasty edible mushroom nutritional medicinal value consumed native people throughout asia however study mushroom limited due lack fine genomic information molecular mechanism underlying development symbiosis termite plant biomass degradation study reported chromosomelevel reference genome fuliginosus assembled using oxford nanopore technology ont hic technology total clean data obtained ont hic sequencing amounted respectively assembled genome consisted chromosome total length completeness evaluation showed assembled genome high quality complete busco score total proteincoding gene identified gene received least one functional annotation hit across queried database based singlecopy orthologous gene phylogenetic analysis revealed fuliginosus shared close evolutionary relationship termitomyces cryptogamus arthromyces matolae tricholoma furcatifolium tephrocybe rancida lyophyllum atratum tricholoma matsutake total carbohydrateactive enzyme cazyme gene identified fuliginosus genome enabling better understanding carbohydrate degradation capability fuliginosus chromosomelevel genome fuliginosus provides valuable reference data utilizing medicinal nutritional value mushroom accurate genomic sequence without gap genomic analysis functional gene visualization chromosomal structural variation,Lichen_Symbiosis_Genomics
40941956,exogenous application enod cep peptide boost symbiotic signaling gene expression productivity common bean small signaling peptide play crucial role regulation legumerhizobia symbiosis yet potential exogenous biostimulants remains largely unexplored study evaluated effect foliar application synthetic peptide enod cep common bean iphaseolus vulgarisi greenhouse field condition using factorial design examined gene expression pattern nodulation parameter yieldrelated trait response peptide treatment alone combination irhizobiumi result showed enod cep significantly enhanced transcription key symbiotic signaling gene ipvenodi ipvsymrki ipvccamki ipvcyclopsi ipvvapyrini modulated defenserelated gene ipvaosi ipvicsi strongest effect observed concentration supsup supsup greenhouse assay peptidetreated plant exhibited increased root shoot biomass nodule number seed yield field trial confirmed response cep supsup irhizobiumi treatment achieving highest grain yield hasupsup finding provide first evidence enod cep peptide function foliarapplied biostimulants enhance nodulation efficiency improve yield legume approach offer promising sustainable strategy reduce chemical nitrogen input support biological nitrogen fixation agricultural system,Plant_Mycorrhizal_Symbiosis
